CWE,2018,2017,2016,2015,2014,2013,2012,2011,2010
CWE-79,1778,1460,464,726,1027,614,720,454,595
CWE-119,1419,2502,1125,927,762,759,720,662,532
CWE-20,1192,942,498,371,548,498,365,382,298
CWE-200,1050,1374,602,587,345,249,218,295,156
CWE-190,637,183,42,1,2,2,1,0,0
CWE-125,552,390,67,3,1,0,4,0,0
CWE-89,460,499,85,212,294,145,236,288,515
CWE-352,399,306,80,239,243,119,152,55,75
CWE-284,384,1358,377,146,19,1,2,0,0
CWE-22,351,256,74,138,192,103,118,104,273
CWE-264,350,1185,595,562,722,573,603,282,345
CWE-416,309,252,104,9,8,14,8,0,0
CWE-476,288,328,70,1,2,0,0,0,0
CWE-78,251,74,28,31,46,31,14,14,13
CWE-787,239,136,24,0,0,0,0,0,0
CWE-287,214,181,40,33,142,106,98,55,73
CWE-611,156,101,13,0,1,0,0,0,0
CWE-400,143,109,13,0,1,0,0,0,0
CWE-434,139,80,10,1,0,0,0,0,0
CWE-399,134,379,176,346,258,288,310,375,236